uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged,geom
16574,,,R. Madia & Son Inc.,28,Spruce St.,28 Spruce St.,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,R. Madia & Son Inc.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000010892CC1B96952C0583C655E245A4440
75533,,"NYCHHS: CT126020151403811,CT126020160002200","Apex For Youth, Inc.",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,"Apex For Youth, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
20040,,,"Opening Act, Inc.",,,P.O. Box 20178,New York,Manhattan,1,10001,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Theater,,,,,,,,Non-public,"Opening Act, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73189,,NYSOMH: 027099-7062-014,ACMH E. 144th Street SP/SRO,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,ACMH Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
15957,,,Paredes Lawn Care LLC,13,Hunt Avenue,13 Hunt Avenue,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Paredes Lawn Care LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000008BDED75B767752C045700E36C47A4440
74142,,NYSOMH: 000152-7256-633,SIBN Supported Housing/MRT Supp Housing Richmond-Comm Svcs,,,,Staten Island,Staten Island,5,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Staten Island Behavioral Network Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73441,,NYSOMH: 252099-6905-002,Lower Eastside Service Center Inc. - DOHMH,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Lower East Side Service Center Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
24345,,,Lone Pine Arboriculture Consultants & Services,211,Cerrato Lane,211 Cerrato Lane,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Lone Pine Arboriculture Consultants & Services,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000DE21E9E8AA7852C02D24E3E4D0764440
24331,,NYCDYCD: 50740,"Rochdale Village Social Services, Inc. I",169-65,137TH Avenue,169-65 137TH Avenue,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Rochdale Village Social Services, Inc",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
24860,,,D&M Concrete Inc.,30,Meadow Lane,30 Meadow Lane,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,D&M Concrete Inc.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000E465B0E0416852C0D8ED718A5B6C4440
19848,,,"International Black Film Festival, Inc",,,P.O. Box 2558,New York,Manhattan,1,10108,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Film/Video/Audio,,,,,,,,Non-public,"International Black Film Festival, Inc",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73697,,NYSOMH: 347099-6728-633,Postgraduate Supported Housing/Brooklyn-Comm.Svcs.,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Postgraduate Center for Mental Health Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
17000,,,"Mendez Trucking, Inc.",490,Union Avenue,490 Union Avenue,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Mendez Trucking, Inc.",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000006F65C31AE38952C086BEE43C78664440
75576,,"NYCHHS: CT126020160002086,CT126020161400999,CT126020161402733",Yeshiva Kehilath Yakov,,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,Yeshiva Kehilath Yakov,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
21124,,,Metropolitan Hospital Medicaid Office,1901,First,1901 First Ave. (1st Fl. Room 1d-27),New York,Manhattan,1,10029,,,,,,,,,,,Health and Human Services,Human Services,Financial Assistance and Social Services,Medicaid Offices,,,,,,,,Public,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS: City,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS,NYCHRA/DSS: HRA Locations,NYCHRA/DSS: https://www1.nyc.gov/site/hra/locations/locations.page,NYCHRA/DSS: 2017-02-27,hra_facilities_centers,,
73650,,NYSOMH: 325099-7637-430,Ohel Community Residence for Adults #1,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Ohel Children's Home & Family Services Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
75632,,"NYCHHS: 20150000033,20150000826,20150000827","Selfhelp Community Services, Inc.",,,,,,,,,,,,,,,,,,Health and Human Services,Human Services,Senior Services,Naturally Occurring Retirement Community Senior Services,,,,,,,,Non-public,"Selfhelp Community Services, Inc.",Non-public,NYCDFTA: City,NYC Department for the Aging,NYCDFTA,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
24377,,,Edgar's Landscaping,22,Provanzano St,22 Provanzano St,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Edgar's Landscaping,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000040096D5816F52C0302C555B594F4440
75637,,"NYCHHS: 20151403520,20151403521,20151403524,20151403525",Aspira Of New York Inc,,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,Aspira Of New York Inc,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
73877,,NYSOMH: 000709-8366-001,West End True Colors II SP/SRO,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,West End Residence HFDC Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
21548,,,"Oliveira Landscape, Inc.",75,Sprain Road #77,75 Sprain Road #77,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Oliveira Landscape, Inc.",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000007BD4EEE93A7752C0F3C2A7D0B07A4440
60525,,NYCHHS: 3670,PS 48,4360,Broadway,4360 Broadway,New York,Manhattan,,10032,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Community Association Of Progressive Dominicans, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-07-26,hhs_facilities_proposals,,
3814,,NYCDYCD: 47715,Masbia Of Queens,9808,Queens Blvd,9808 Queens Blvd,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Masbia of Queens,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
10636,,NYCDCA: 1331468-DCA,Robbies Towing Inc.,444,Peninsula Blvd,444 Peninsula Blvd,,,,11550,,,,,,,,,,,Core Infrastructure and Transportation,Transportation,Parking Lots and Garages,Tow Truck Company,,,,,,,,Non-public,Robbies Towing Inc.,Non-public,NYCDCA: City,NYC Department of Consumer Affairs,NYCDCA,NYCDCA,NYCDCA: Legally Operating Businesses,NYCDCA: https://data.cityofnewyork.us/Business/Legally-Operating-Businesses/w7w3-xahh,NYCDCA: 2017-05-05,dca_facilities_operatingbusinesses,,
73514,,NYSOMH: 347099-6728-011,Teller Ave,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Postgraduate Center for Mental Health Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73196,,NYSOMH: 723099-9232-004,St. John's II LP,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Lutheran Social Services of Metro New York,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
16098,,,A1reliable Industries Corporation,,,141c- Central Ave,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,A1reliable Industries Corporation,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000024790857195A52C0A0848B046B604440
73976,,NYSOMH: 344099-7401-434,Omni III,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,PSCH Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
15945,,,Dukes Ready Mix Corp.,2585,S. Seamans Neck Rd.,2585 S. Seamans Neck Rd.,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Dukes Ready Mix Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000080507D025A5F52C058E0B3E820544440
15949,,,"D.B.O.W., II, Inc.",440,Middle Island Yaphank Rd.,440 Middle Island Yaphank Rd.,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"D.B.O.W., II, Inc.",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000A8816D94FD3B52C0109F9DB8D66C4440
25906,,NYCDYCD: 50655,Greater Flushing Community Council,37-22,Union Street,37-22 Union Street,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Greater Flushing Community Council/aka Macedonia Child Dev.,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
73520,,NYSOMH: 419099-7320-004,Macombs - SP-SRO,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Services for the Underserved Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
21859,,NYCDYCD: 50863,"East Sixties Neighborhood Association, Inc",,,1173A Second Avenue,New York,Manhattan,1,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"East Sixties Neighborhood Association, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
24234,,NYCDYCD: 31219,Chinese American Planning Council,136-18,39th Avenue,136-18 39th Avenue,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Chinese American Planning Council,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
75731,,"NYCHHS: 20151404743,20151424917",Scan New York Volunteer Parent Aides Association Inc.,,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,Scan New York Volunteer Parent Aides Association Inc.,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
73972,,NYSOMH: 224099-6709-641,JBFCS Supp Housing Reinvest/Queens - Comm Svcs,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Jewish Board of Family & Children's Services,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
19645,,,"West Indian American Day Carnival Association, Inc.",,,P.O. Box 130192,Brooklyn,Brooklyn,3,11213,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Folk Arts,,,,,,,,Non-public,"West Indian American Day Carnival Association, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
16072,,,Marky O.G.  LLC,119,Smithtown Rd,119 Smithtown Rd,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Marky O.G.  LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000088E9BCE671B252C07002A222546F4440
2987,,,Brooklyn Bridge Park/DUMBO Ferry Terminal,,,,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Transportation,Ports and Ferry Landings,Ferry Terminal or Landing,,,,,,,,Public,NYC Economic Development Corporation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDOT,NYCDOT: Facilities Data - Ferry Terminals and Landings,,NYCDOT: 2017-02-23,dot_facilities_ferryterminalslandings,,0101000020E610000080101DB4A2142E4100AE7744BCDA0741
22908,,,"Rocktenn Cp, LLC",504,Thrasher Street,504 Thrasher Street,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Rocktenn Cp, LLC",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000050B4AD870F0E55C0F0DD9626CFF74040
73560,,NYSOMH: 842099-7747-010,Kings County Congregate Supportive Housing Population V,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,CAMBA Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73916,,NYSOMH: 068099-6487-631,CCNS Supported Housing/Queens County-Comm.Svcs.,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Catholic Charities Neighborhood Services Inc,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
10625,,,Zelia Trucking Inc.,175,Jordan Rd,175 Jordan Rd,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Zelia Trucking Inc.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000CCB2300DFC9452C0803217EE6C4D4440
5872,,,Coney Island HASA Center,3050,W.,3050 W. 21st St.,Brooklyn,Brooklyn,3,11224,,,,,,,,,,,Health and Human Services,Human Services,Financial Assistance and Social Services,HIV/AIDS Services Centers,,,,,,,,Public,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS: City,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS,NYCHRA/DSS: HRA Locations,NYCHRA/DSS: https://www1.nyc.gov/site/hra/locations/locations.page,NYCHRA/DSS: 2017-02-27,hra_facilities_centers,,
74141,,NYSOMH: 000152-7256-632,SIBN Supported Housing/High Needs SH Richmond-Comm Svcs,,,,Staten Island,Staten Island,5,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Staten Island Behavioral Network Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
15974,,,Disanto & Family Construction Corp.,253,Rockaway Turnpike,253 Rockaway Turnpike,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Disanto & Family Construction Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000980FE797F66E52C0C8928002994F4440
29616,,,Opera Company of Brooklyn Association,,,Brendan Moffitt,New York,Manhattan,1,10025,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Music,,,,,,,,Non-public,Opera Company of Brooklyn Association,Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73481,,NYSOMH: 721099-9231-630,HOGAR Supported Housing/Bronx - NY/NY III-Comm. Svcs.,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Housing Options & Geriatric Assoc. Resources,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
75865,,NYCHHS: CT126020160003514,Laguardia Community College,31-10,Thomson Avenue C-239,31-10 Thomson Avenue C-239,Long Island City,Queens,,11101,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Research Foundation Of The City University Of New York,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
60650,,NYCHHS: 3966,Eagle Academy For Young Men Of Staten Island,101,Warren Street,101 Warren Street,Staten Island,Staten Island,,10302,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Jewish Community Center Of Staten Island, Incorporated",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-07-26,hhs_facilities_proposals,,
73769,,NYSOMH: 445099-8548-638,ComuniLife Supp Housing/High Needs SH Manhattan - Comm. Svcs,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,ComuniLife Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
